Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior MVPs
2020,99.2,Bojan Bogdanovic,UTA,1,72,72,52,17.0,3.9,1.9,0.6,0.1,1.8,58.8,2.5,121,22.5,9.4,0
2020,99.2,Tim Hardaway Jr.,DAL,5,70,72,42,16.6,3.3,1.8,0.4,0.2,0.9,58.9,3.0,0.07,23.0,10.2,0
2020,99.2,Kevin Porter Jr.,HOU,15,26,72,4,16.6,3.8,6.3,0.7,0.3,3.5,52.8,1.9,0.006999999999999999,24.7,8.6,0
2020,99.2,Buddy Hield,SAC,11,71,72,31,16.6,4.7,3.6,0.9,0.4,1.8,56.7,4.0,43,20.1,8.4,0
2020,99.2,Chris Paul,PHX,2,70,72,49,16.4,4.5,8.9,1.4,0.3,2.2,59.9,1.5,0.11,22.1,15.0,0
2020,99.2,Khyri Thomas,HOU,15,5,72,1,16.4,3.6,5.0,1.8,1.2,1.2,58.6,1.8,35,20.8,10.7,0
2020,99.2,Bogdan Bogdanovic,ATL,4,44,72,30,16.4,3.6,3.3,1.1,0.3,1.2,61.6,3.3,84,21.0,11.0,0
2020,99.2,Mike Conley,UTA,1,51,72,37,16.2,3.5,6.0,1.4,0.2,1.9,58.9,2.7,184,22.4,13.1,0
2020,99.2,Harrison Barnes,SAC,11,58,72,25,16.1,6.6,3.5,0.7,0.2,1.6,62.6,1.7,47,16.9,10.7,0
2020,99.2,Elijah Bryant,MIL,3,1,72,0,16.0,6.0,3.0,0.0,1.0,4.0,55.9,1.0,142,23.1,7.2,0
2020,99.2,OG Anunoby,TOR,12,43,72,18,15.9,5.5,2.2,1.5,0.7,1.7,60.5,2.4,0.11199999999999999,19.3,9.9,0
2020,99.2,LaMelo Ball,CHA,10,51,72,23,15.7,5.9,6.1,1.6,0.4,2.8,53.9,1.8,77,24.7,12.1,0
2020,99.2,Dejounte Murray,SAS,10,67,72,32,15.7,7.1,5.4,1.5,0.1,1.7,50.9,0.9,0.10400000000000001,23.1,12.4,0
2020,99.2,Terrence Ross,ORL,14,46,72,16,15.6,3.4,2.3,1.0,0.5,1.6,53.0,1.9,75,23.0,9.0,0
2020,99.2,T.J. Warren,IND,8,4,72,3,15.5,3.5,1.3,0.5,0.0,1.0,56.0,0.0,0.10300000000000001,21.3,7.2,0
2020,99.2,Kelly Oubre Jr.,GSW,8,55,72,27,15.4,6.0,1.3,1.0,0.8,1.3,52.9,1.6,99,21.5,9.0,0
2020,99.2,Dennis Schroder,LAL,5,61,72,38,15.4,3.5,5.8,1.1,0.2,2.7,54.3,1.2,114,22.7,9.7,0
2020,99.2,Derrick White,SAS,10,36,72,18,15.4,3.0,3.5,0.7,1.0,1.3,55.0,2.3,102,22.3,9.0,0
2020,99.2,Gary Trent Jr.,TOR,12,58,72,29,15.3,2.6,1.4,1.0,0.2,0.7,53.4,2.8,45,20.4,7.1,0
2020,99.2,Clint Capela,ATL,4,63,72,34,15.2,14.3,0.8,0.7,2.0,1.2,60.1,0.0,0.11,19.3,15.8,0
2020,99.2,Tyler Herro,MIA,6,54,72,29,15.1,5.0,3.4,0.6,0.3,1.9,54.3,2.0,0.09,22.5,10.8,0
2020,99.2,Coby White,CHI,11,69,72,30,15.1,4.1,4.8,0.6,0.2,2.3,54.0,2.4,87,21.9,8.8,0
2020,99.2,De'Andre Hunter,ATL,4,23,72,12,15.0,4.8,1.9,0.8,0.5,1.3,60.3,1.3,131,19.4,10.4,0
2020,99.2,Andre Drummond,LAL,5,46,72,19,14.9,12.0,2.0,1.4,1.1,2.7,51.9,0.0,0.07200000000000001,26.9,13.9,0
2020,99.2,Devonte' Graham,CHA,10,55,72,23,14.8,2.7,5.4,0.9,0.1,1.5,55.2,3.3,0.11900000000000001,21.1,10.3,0
2020,99.2,Derrick Rose,NYK,4,50,72,28,14.7,2.6,4.2,1.0,0.4,1.6,55.0,1.0,0.11900000000000001,25.2,13.3,1
2020,99.2,Lonzo Ball,NOP,11,55,72,23,14.6,4.8,5.7,1.5,0.6,2.2,55.1,3.1,64,20.2,10.5,0
2020,99.2,Kendrick Nunn,MIA,6,56,72,31,14.6,3.2,2.6,0.9,0.3,1.4,59.6,2.2,78,20.5,9.5,0
2020,99.2,Deandre Ayton,PHX,2,69,72,48,14.4,10.5,1.4,0.6,1.2,1.5,65.3,0.1,0.08800000000000001,17.9,13.0,0
2020,99.2,Jaren Jackson Jr.,MEM,9,11,72,4,14.4,5.6,1.1,1.1,1.6,1.4,55.1,1.5,0.018000000000000002,25.2,9.7,0
2020,99.2,Thomas Bryant,WAS,8,10,72,2,14.3,6.1,1.5,0.4,0.8,1.1,70.4,0.9,0.04,16.3,11.1,0
2020,99.2,Rudy Gobert,UTA,1,71,72,52,14.3,13.5,1.3,0.6,2.7,1.7,68.3,0.0,0.18100000000000002,16.6,16.5,0
2020,99.2,Ben Simmons,PHI,1,58,72,42,14.3,7.2,6.9,1.6,0.6,3.0,58.4,0.1,0.14,20.0,12.8,0
2020,99.2,Richaun Holmes,SAC,11,61,72,29,14.2,8.3,1.7,0.6,1.6,1.2,66.9,0.0,51,17.3,12.2,0
2020,99.2,Al Horford,BOS,7,28,72,11,14.2,6.7,3.4,0.9,0.9,1.0,53.8,2.0,95,22.1,13.1,0
2020,99.2,Marvin Bagley III,SAC,11,43,72,20,14.1,7.4,1.0,0.5,0.5,1.4,55.4,0.9,32,22.9,9.9,0
2020,99.2,Joe Harris,BKN,2,69,72,45,14.1,3.6,1.9,0.7,0.2,0.9,66.3,3.1,92,15.7,8.5,0
2020,99.2,Luguentz Dort,OKC,14,52,72,18,14.0,3.6,1.7,0.9,0.4,1.5,51.3,2.2,78,21.8,6.2,0
2020,99.2,Rui Hachimura,WAS,8,57,72,29,13.8,5.5,1.4,0.8,0.1,1.2,54.9,0.8,77,18.0,8.2,0
2020,99.2,Darius Bazley,OKC,14,55,72,16,13.7,7.2,1.8,0.5,0.5,2.2,49.1,1.5,63,21.8,8.6,0
2020,99.2,Chris Boucher,TOR,12,60,72,25,13.6,6.7,1.1,0.6,1.9,0.8,63.4,1.5,71,20.2,13.2,0
2020,99.2,Lauri Markkanen,CHI,11,51,72,20,13.6,5.3,0.9,0.5,0.3,1.0,61.9,2.3,81,19.7,11.0,0
2020,99.2,Doug McDermott,IND,8,66,72,32,13.6,3.3,1.3,0.3,0.1,0.8,63.5,1.7,61,19.4,9.6,0
2020,99.2,LaMarcus Aldridge,BKN,2,26,72,15,13.5,4.5,1.9,0.4,1.1,1.0,55.6,1.2,0.054000000000000006,22.4,9.9,0
2020,99.2,Kelly Olynyk,HOU,15,70,72,26,13.5,7.0,2.9,1.1,0.6,1.8,61.0,1.8,62,19.0,11.2,0
2020,99.2,Montrezl Harrell,LAL,5,69,72,41,13.5,6.2,1.1,0.7,0.7,1.1,65.0,0.0,99,21.1,15.2,0
2020,99.2,Mikal Bridges,PHX,2,72,72,51,13.5,4.3,2.1,1.1,0.9,0.8,66.7,1.9,0.10099999999999999,14.7,9.9,0
2020,99.2,Goran Dragic,MIA,6,50,72,30,13.4,3.4,4.4,0.7,0.2,2.4,55.2,1.8,95,23.9,9.7,0
2020,99.2,Marcus Morris Sr.,LAC,3,57,72,38,13.4,4.1,1.0,0.6,0.3,1.0,61.4,2.5,0.057999999999999996,19.4,9.1,0
2020,99.2,Carmelo Anthony,POR,5,69,72,39,13.4,3.1,1.5,0.7,0.6,0.9,54.7,1.9,35,22.8,8.8,0
2020,99.2,Josh Jackson,DET,15,62,72,16,13.4,4.1,2.3,0.9,0.8,2.3,51.6,1.2,0.09300000000000001,25.4,8.0,0
2020,99.2,Danilo Gallinari,ATL,4,51,72,29,13.3,4.1,1.5,0.6,0.2,0.8,61.3,2.0,0.07200000000000001,21.1,11.2,0
2020,99.2,Duncan Robinson,MIA,6,72,72,40,13.1,3.5,1.8,0.6,0.3,1.1,62.8,3.5,113,16.2,7.5,0
2020,99.2,Marcus Smart,BOS,7,48,72,24,13.1,3.5,5.7,1.5,0.5,2.0,53.9,1.9,91,17.9,8.5,0
2020,99.2,Tyrese Haliburton,SAC,11,58,72,25,13.0,3.0,5.3,1.3,0.5,1.6,58.5,2.1,38,17.5,10.4,0
2020,99.2,Shake Milton,PHI,1,63,72,46,13.0,2.3,3.1,0.6,0.3,1.6,54.9,1.1,107,23.9,10.1,0
2020,99.2,Markelle Fultz,ORL,14,8,72,6,12.9,3.1,5.4,1.0,0.3,2.3,45.8,0.5,57,25.0,8.1,0
2020,99.2,P.J. Washington,CHA,10,64,72,31,12.9,6.5,2.5,1.1,1.2,2.0,54.9,1.8,98,19.1,8.9,0
2020,99.2,Cole Anthony,ORL,14,47,72,13,12.9,4.7,4.1,0.6,0.4,2.3,49.6,1.2,35,23.5,9.1,0
2020,99.2,Kyle Kuzma,LAL,5,68,72,40,12.9,6.1,1.9,0.5,0.6,1.7,54.6,2.0,128,19.8,9.7,0
2020,99.2,Jarrett Allen,CLE,13,63,72,20,12.8,10.0,1.7,0.5,1.4,1.6,66.1,0.1,0.059000000000000004,16.3,13.8,0
2020,99.2,Keldon Johnson,SAS,10,69,72,32,12.8,6.0,1.8,0.6,0.3,1.1,55.7,0.9,57,18.9,9.1,0
2020,99.2,Miles Bridges,CHA,10,66,72,31,12.7,6.0,2.2,0.7,0.8,1.6,62.5,1.8,92,17.0,10.3,0
2020,99.2,Alec Burks,NYK,4,49,72,27,12.7,4.6,2.2,0.6,0.3,1.0,56.4,2.1,0.12,20.8,11.5,0
2020,99.2,Will Barton,DEN,3,56,72,37,12.7,4.0,3.2,0.9,0.4,1.7,53.8,1.8,0.07400000000000001,18.7,7.6,0
2020,99.2,Jalen Brunson,DAL,5,68,72,40,12.6,3.4,3.5,0.5,0.0,1.2,61.8,1.2,87,19.6,12.3,0
2020,99.2,Myles Turner,IND,8,47,72,22,12.6,6.5,1.0,0.9,3.4,1.4,59.9,1.5,113,16.7,9.0,0
2020,99.2,Seth Curry,PHI,1,57,72,39,12.5,2.4,2.7,0.8,0.1,1.1,60.7,2.2,0.11800000000000001,16.9,8.4,0
2020,99.2,Kyle Anderson,MEM,9,69,72,36,12.4,5.7,3.6,1.2,0.8,1.2,57.8,1.4,0.09699999999999999,18.1,12.1,0
2020,99.2,Aaron Gordon,DEN,3,50,72,29,12.4,5.7,3.2,0.7,0.7,1.9,54.7,1.2,84,20.4,9.5,0
2020,99.2,Brook Lopez,MIL,3,70,72,46,12.3,5.0,0.7,0.6,1.5,0.9,61.1,1.4,83,16.6,8.5,0
2020,99.2,Saddiq Bey,DET,15,70,72,19,12.2,4.5,1.4,0.7,0.2,0.9,56.7,2.5,76,18.2,9.2,0
2020,99.2,Eric Bledsoe,NOP,11,71,72,31,12.2,3.4,3.8,0.8,0.3,1.6,53.3,1.7,51,18.1,7.7,0
2020,99.2,Kevin Love,CLE,13,25,72,7,12.2,7.4,2.5,0.6,0.1,1.5,55.6,2.3,0.054000000000000006,21.1,12.3,0
2020,99.2,Josh Richardson,DAL,5,59,72,35,12.1,3.3,2.6,1.0,0.4,1.3,53.7,1.5,61,18.1,7.3,0
2020,99.2,Thaddeus Young,CHI,11,68,72,30,12.1,6.2,4.3,1.1,0.6,2.0,57.8,0.2,75,21.6,12.8,0
2020,99.2,Joe Ingles,UTA,1,67,72,47,12.1,3.6,4.7,0.7,0.2,1.7,67.2,2.7,0.13,16.2,11.2,0
2020,99.2,Jordan Poole,GSW,8,51,72,28,12.0,1.8,1.9,0.5,0.2,1.0,58.1,1.9,76,24.6,10.1,0
2020,99.2,Kevin Huerter,ATL,4,69,72,40,11.9,3.3,3.5,1.2,0.3,1.1,54.1,2.0,0.08199999999999999,16.7,7.7,0
2020,99.2,Malik Monk,CHA,10,42,72,19,11.7,2.4,2.1,0.5,0.1,1.3,56.9,2.0,75,22.7,9.6,0
2020,99.2,Hamidou Diallo,DET,15,52,72,18,11.6,5.2,1.9,0.8,0.5,1.5,54.1,0.5,0.07,21.8,9.9,0
2020,99.2,Davis Bertans,WAS,8,57,72,29,11.5,2.9,0.9,0.6,0.2,0.6,62.0,3.0,75,14.8,6.9,0
2020,99.2,James Wiseman,GSW,8,39,72,18,11.5,5.8,0.7,0.3,0.9,1.5,55.2,0.3,65,23.1,8.8,0
2020,99.2,Jusuf Nurkic,POR,5,37,72,22,11.5,9.0,3.4,1.0,1.1,2.0,55.4,0.3,0.08900000000000001,21.7,13.4,0
2020,99.2,Bobby Portis,MIL,3,66,72,44,11.4,7.1,1.1,0.8,0.4,0.8,59.8,1.1,76,20.2,13.3,0
2020,99.2,Immanuel Quickley,NYK,4,64,72,37,11.4,2.1,2.0,0.5,0.2,0.9,55.7,1.8,92,24.6,10.3,0
2020,99.2,Rudy Gay,SAS,10,63,72,29,11.4,4.8,1.4,0.7,0.6,1.0,53.2,1.7,107,23.0,10.8,0
2020,99.2,Lou Williams,ATL,4,66,72,44,11.3,2.1,3.4,0.7,0.1,1.6,51.9,1.0,65,24.4,9.6,0
2020,99.2,Jae'Sean Tate,HOU,15,70,72,17,11.3,5.3,2.5,1.2,0.5,1.4,57.6,0.9,76,16.1,8.3,0
2020,99.2,Cam Reddish,ATL,4,26,72,10,11.2,4.0,1.3,1.3,0.3,1.3,48.8,1.3,0.05,18.3,5.3,0
2020,99.2,Wendell Carter Jr.,ORL,14,54,72,21,11.2,8.2,1.9,0.6,0.8,1.4,56.6,0.3,53,18.8,11.5,0
2020,99.2,Naz Reid,MIN,13,70,72,22,11.2,4.6,1.0,0.5,1.1,1.0,59.9,0.9,47,21.8,11.3,0
2020,99.2,Enes Kanter,POR,5,72,72,42,11.2,11.0,1.2,0.5,0.7,1.1,63.6,0.0,42,16.9,14.1,0
2020,99.2,Armoni Brooks,HOU,15,20,72,3,11.2,3.4,1.5,0.6,0.3,1.1,56.5,3.0,39,17.5,6.8,0
2020,99.2,Lonnie Walker IV,SAS,10,60,72,28,11.2,2.6,1.7,0.5,0.3,1.1,52.3,1.7,0.036000000000000004,19.9,6.3,0
2020,99.2,Serge Ibaka,LAC,3,41,72,24,11.1,6.7,1.8,0.2,1.1,1.1,58.5,1.0,0.07200000000000001,20.0,11.5,0
2020,99.2,Nickeil Alexander-Walker,NOP,11,46,72,20,11.0,3.1,2.2,1.0,0.5,1.5,52.2,1.7,0.057999999999999996,22.8,8.8,0
2020,99.2,Jeff Green,BKN,2,68,72,44,11.0,3.9,1.6,0.5,0.4,0.8,62.4,1.5,63,15.4,8.3,0
2020,99.2,Blake Griffin,BKN,2,46,72,24,11.0,4.9,3.0,0.7,0.3,1.3,54.6,1.5,71,19.1,9.2,0
2020,99.2,Dwayne Bacon,ORL,14,72,72,21,10.9,3.1,1.3,0.6,0.1,0.6,49.0,0.8,0.06,19.3,6.9,0
2020,99.2,Reggie Bullock,NYK,4,65,72,38,10.9,3.4,1.5,0.8,0.2,0.7,60.6,2.5,0.11900000000000001,14.0,7.4,0
2020,99.2,Oshae Brissett,IND,8,21,72,10,10.9,5.5,0.9,0.9,1.0,0.5,63.8,1.6,73,14.9,9.6,0
