Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,MVP,Prior MVPs,DPOY
1996,90.1,Cedric Ceballos,PHX,6,50,82,29,14.6,6.6,1.3,0.7,0.5,1.7,52.2,0.5,62,24.3,10.3,0,0,0
1996,90.1,Jeff Hornacek,UTA,1,82,82,64,14.5,2.9,4.4,1.5,0.3,1.6,59.6,0.9,132,19.4,12.5,0,0,0
1996,90.1,Doug Christie,TOR,12,81,82,29,14.5,5.3,3.9,2.5,0.6,2.5,54.3,1.8,92,18.3,10.4,0,0,0
1996,90.1,Todd Day,BOS,15,81,82,14,14.5,4.1,1.4,1.3,0.6,1.6,51.4,1.6,0.03,23.3,8.5,0,0,0
1996,90.1,Chris Mullin,GSW,10,79,82,27,14.5,4.0,4.1,1.6,0.4,2.4,64.5,1.1,35,17.2,12.0,0,0,0
1996,90.1,Anthony Peeler,VAN,14,72,82,12,14.5,3.4,3.6,1.5,0.2,2.2,48.7,1.8,55,24.4,9.1,0,0,0
1996,90.1,John Stockton,UTA,1,82,82,64,14.4,2.8,10.5,2.0,0.2,3.0,65.6,0.9,127,18.3,16.7,0,0,0
1996,90.1,Robert Pack,DAL,11,54,82,12,14.3,2.7,8.4,1.7,0.1,4.0,48.2,0.6,0.08800000000000001,24.1,10.9,0,0,0
1996,90.1,Lindsey Hunter,DET,5,82,82,54,14.2,2.8,1.9,1.6,0.3,1.2,51.5,2.0,0.10099999999999999,19.8,7.4,0,0,0
1996,90.1,Dino Radja,BOS,15,25,82,6,14.0,8.4,1.9,0.9,1.9,2.8,47.1,0.0,0.10800000000000001,22.4,9.9,0,0,0
1996,90.1,Hersey Hawkins,SEA,2,82,82,57,13.9,3.9,3.0,1.9,0.1,1.6,61.6,1.7,145,16.8,12.2,0,0,0
1996,90.1,Rex Chapman,PHX,6,65,82,31,13.8,2.8,2.8,0.8,0.1,1.5,55.1,1.7,57,22.1,10.1,0,0,0
1996,90.1,John Starks,NYK,3,77,82,55,13.8,2.7,2.8,1.2,0.1,2.1,55.5,1.9,131,24.0,11.8,0,0,0
1996,90.1,Mahmoud Abdul-Rauf,SAC,9,75,82,32,13.7,1.6,2.5,0.7,0.1,1.6,52.4,1.3,51,22.9,8.2,0,0,0
1996,90.1,Danny Manning,PHX,6,77,82,37,13.5,6.1,2.2,1.1,1.0,2.1,57.4,0.1,71,22.3,11.8,0,0,0
1996,90.1,Wesley Person,PHX,6,80,82,39,13.5,3.7,1.5,1.1,0.3,1.0,56.7,2.1,77,19.2,10.4,0,0,0
1996,90.1,Malik Sealy,LAC,8,80,82,35,13.5,3.0,2.1,1.6,0.6,1.9,50.4,1.0,0.057999999999999996,21.6,8.4,0,0,0
1996,90.1,Arvydas Sabonis,POR,5,69,82,43,13.4,7.9,2.1,0.9,1.2,2.2,59.2,0.7,109,23.9,15.9,0,0,0
1996,90.1,Ray Allen,MIL,11,82,82,33,13.4,4.0,2.6,0.9,0.1,1.8,54.1,1.4,68,20.9,8.9,0,0,0
1996,90.1,Jayson Williams,NJN,13,41,82,12,13.4,13.5,1.2,0.6,0.9,2.0,44.3,0.0,0.07400000000000001,20.5,9.5,0,0,0
1996,90.1,Chris Mills,CLE,9,80,82,41,13.4,6.2,2.5,1.1,0.5,1.5,54.4,1.1,166,17.2,10.9,0,0,0
1996,90.1,Dikembe Mutombo,ATL,4,80,82,54,13.3,11.6,1.4,0.6,3.3,2.3,58.4,0.0,0.18600000000000003,17.8,14.6,0,0,1
1996,90.1,Rodney Rogers,LAC,8,81,82,35,13.2,5.1,2.7,1.1,0.8,2.7,53.0,0.8,64,22.1,8.7,0,0,0
1996,90.1,Toni Kukoc,CHI,1,57,82,50,13.2,4.6,4.5,1.1,0.5,1.6,55.3,0.9,0.13699999999999998,21.0,13.6,0,0,0
1996,90.1,Shawn Bradley,DAL,11,73,82,20,13.2,8.4,0.7,0.5,3.4,1.8,47.8,0.0,0.10400000000000001,22.0,10.4,0,0,0
1996,90.1,Otis Thorpe,DET,5,79,82,51,13.1,7.9,1.7,0.7,0.2,1.8,56.3,0.0,111,19.7,10.4,0,0,0
1996,90.1,Tyrone Hill,CLE,9,74,82,40,12.9,9.9,1.2,0.9,0.4,2.0,62.6,0.0,158,17.5,13.3,0,0,0
1996,90.1,Vernon Maxwell,SAS,13,72,82,18,12.9,2.2,2.1,1.2,0.3,1.7,47.1,1.6,0.05,24.4,6.6,0,0,0
1996,90.1,Larry Johnson,NYK,3,76,82,52,12.8,5.2,2.3,0.9,0.5,1.8,57.0,0.4,145,17.6,9.4,0,0,0
1996,90.1,Vlade Divac,CHH,5,81,82,53,12.6,9.0,3.7,1.3,2.2,2.4,53.3,0.1,92,19.3,12.0,0,0,0
1996,90.1,Horace Grant,ORL,7,67,82,35,12.6,9.0,2.4,1.5,1.0,1.5,54.6,0.0,131,15.8,12.7,0,0,0
1996,90.1,Bobby Phills,CLE,9,69,82,36,12.6,3.6,3.4,1.6,0.3,2.0,51.4,1.2,153,20.4,9.7,0,0,0
1996,90.1,Sasha Danilovic,DAL,11,56,82,35,12.5,2.4,1.8,1.0,0.2,2.1,55.2,1.5,158,19.0,7.3,0,0,0
1996,90.1,Dana Barros,BOS,15,24,82,6,12.5,2.0,3.4,1.1,0.3,1.6,55.2,1.8,0.07400000000000001,18.3,10.2,0,0,0
1996,90.1,Olden Polynice,SAC,9,82,82,34,12.5,9.4,2.2,0.6,1.0,2.0,47.6,0.0,76,19.2,8.9,0,0,0
1996,90.1,Dennis Scott,ORL,7,66,82,38,12.5,3.1,2.1,1.1,0.3,1.2,51.9,2.2,0.11199999999999999,18.4,7.8,0,0,0
1996,90.1,Vinny Del Negro,SAS,13,72,82,16,12.3,2.9,3.2,0.8,0.1,1.3,52.9,0.6,12,18.6,9.7,0,0,0
1996,90.1,Voshon Lenard,MIA,2,73,82,53,12.3,3.0,2.2,0.7,0.2,1.5,61.4,2.5,139,18.2,10.2,0,0,0
1996,90.1,Clar. Weatherspoon,PHI,14,82,82,22,12.2,8.3,1.7,0.9,1.0,1.7,53.7,0.0,43,15.3,10.1,0,0,0
1996,90.1,Nick Anderson,ORL,7,63,82,39,12.0,4.8,2.9,1.9,0.5,1.4,49.4,2.3,121,17.8,8.7,0,0,0
1996,90.1,Jamal Mashburn,MIA,2,69,82,34,11.9,4.3,2.9,1.1,0.2,1.7,48.7,1.3,0.11800000000000001,20.5,8.3,0,0,0
1996,90.1,Mario Elie,HOU,2,78,82,54,11.7,3.0,4.0,1.2,0.2,1.7,66.2,1.5,0.11800000000000001,13.6,9.3,0,0,0
1996,90.1,Corliss Williamson,SAC,9,79,82,32,11.6,4.1,1.6,0.8,0.6,2.0,53.5,0.0,47,22.7,8.2,0,0,0
1996,90.1,Mark Price,GSW,10,70,82,26,11.3,2.6,4.9,1.0,0.0,2.3,59.7,1.6,34,18.8,11.4,0,0,0
1996,90.1,Kevin Willis,HOU,2,75,82,51,11.2,7.5,0.9,0.6,0.4,1.6,51.5,0.0,0.08900000000000001,21.6,10.6,0,0,0
1996,90.1,Ricky Pierce,CHH,5,60,82,31,11.0,2.0,1.3,0.5,0.2,1.1,58.3,0.7,33,22.7,10.1,0,0,0
1996,90.1,Sam Perkins,SEA,2,81,82,57,11.0,3.7,1.3,0.9,0.6,1.0,58.4,1.5,0.11199999999999999,19.3,11.8,0,0,0
1996,90.1,Billy Owens,SAC,9,66,82,26,11.0,5.9,2.8,0.9,0.4,2.0,51.4,0.4,0.08199999999999999,18.7,9.9,0,0,0
1996,90.1,Jason Kidd,PHX,6,55,82,31,10.9,4.5,9.0,2.3,0.4,2.6,49.8,1.1,71,16.9,11.7,0,0,0
1996,90.1,Darrick Martin,LAC,8,82,82,36,10.9,1.4,4.1,0.7,0.0,1.5,53.9,1.1,32,22.9,10.5,0,0,0
1996,90.1,Don MacLean,PHI,14,37,82,11,10.9,3.8,1.0,0.3,0.3,1.3,49.3,0.3,0.022000000000000002,26.0,9.0,0,0,0
1996,90.1,Terry Mills,DET,5,79,82,52,10.8,4.8,1.3,0.4,0.3,1.1,58.5,2.2,111,20.1,11.9,0,0,0
1996,90.1,Dan Majerle,MIA,2,36,82,27,10.8,4.5,3.2,1.5,0.4,1.4,52.3,1.9,159,15.4,10.3,0,0,0
1996,90.1,Charles Oakley,NYK,3,80,82,55,10.8,9.8,2.8,1.4,0.3,2.1,54.5,0.1,163,15.3,12.1,0,0,0
1996,90.1,Bryon Russell,UTA,1,81,82,63,10.8,4.1,1.5,1.6,0.3,1.2,60.0,1.3,121,14.9,8.2,0,0,0
1996,90.1,Gary Trent,POR,5,82,82,49,10.8,5.2,1.1,0.6,0.4,1.6,56.9,0.0,69,20.7,11.6,0,0,0
1996,90.1,Gheorghe Muresan,WAS,8,73,82,39,10.6,6.6,0.4,0.6,1.3,1.6,61.8,0.0,106,18.2,11.0,0,0,0
1996,90.1,Danny Ferry,CLE,9,82,82,42,10.6,4.1,1.8,0.7,0.4,1.1,52.3,1.4,0.11800000000000001,17.3,7.9,0,0,0
1996,90.1,Erick Strickland,DAL,11,28,82,8,10.6,3.2,2.4,1.0,0.2,2.4,51.0,1.0,105,21.2,7.3,0,0,0
1996,90.1,Gerald Wilkins,ORL,7,80,82,44,10.6,2.2,2.2,0.7,0.2,1.5,50.3,0.8,69,19.9,6.9,0,0,0
1996,90.1,Calbert Cheaney,WAS,8,79,82,42,10.6,3.4,1.4,1.0,0.2,1.2,53.0,0.1,87,16.3,6.7,0,0,0
1996,90.1,Avery Johnson,SAS,13,76,82,19,10.5,1.9,6.8,1.3,0.2,1.9,51.7,0.1,0.037000000000000005,17.4,10.4,0,0,0
1996,90.1,Brian Grant,SAC,9,24,82,9,10.5,5.9,1.2,0.8,1.0,1.8,51.1,0.0,53,21.2,8.9,0,0,0
1996,90.1,Antonio Davis,IND,10,82,82,39,10.5,7.3,0.8,0.5,1.0,1.7,53.7,0.0,127,18.5,10.1,0,0,0
1996,90.1,Dale Davis,IND,10,80,82,39,10.4,9.7,0.7,0.8,1.0,1.4,53.2,0.0,0.11,15.7,10.9,0,0,0
1996,90.1,George McCloud,LAL,4,64,82,28,10.2,2.8,1.7,1.0,0.1,0.9,52.7,1.5,62,20.2,9.3,0,0,0
1996,90.1,Derek Harper,DAL,11,75,82,23,10.0,1.8,4.3,1.2,0.2,1.8,51.6,0.8,62,17.8,9.0,0,0,0
1996,90.1,Tracy Murray,WAS,8,82,82,44,10.0,3.1,1.0,0.9,0.2,1.0,54.6,1.3,79,20.0,9.4,0,0,0
1996,90.1,Travis Best,IND,10,76,82,35,9.9,2.2,4.2,1.3,0.1,2.0,53.3,0.8,0.11800000000000001,18.9,9.5,0,0,0
1996,90.1,Mark Jackson,IND,10,82,82,31,9.9,4.8,11.4,1.2,0.1,3.3,52.5,0.8,83,15.3,13.1,0,0,0
1996,90.1,Carlos Rogers,TOR,12,56,82,17,9.8,5.4,0.7,0.8,1.2,0.9,57.5,0.4,78,16.4,10.6,0,0,0
1996,90.1,Sherman Douglas,MIL,11,79,82,33,9.7,2.4,5.4,1.0,0.1,1.9,55.7,0.5,53,16.6,9.6,0,0,0
