Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,AST%,AST/TO,3PM,+/-,OFFRTG,DEFRTG,DEFWS,eFG%,TS%,USG%,PIE,Prior MVPs
2020,99.2,Darius Garland,CLE,13,54,72,18,17.4,2.4,6.1,1.2,0.1,3.0,29.8,2.01,1.9,-4.4,105.7,112.3,81,51.7,54.7,24.5,10.1,0
2020,99.2,Kyle Lowry,TOR,12,46,72,15,17.2,5.4,7.3,1.0,0.3,2.7,31.1,2.68,2.8,-0.1,112.6,113.0,79,54.6,59.3,20.9,11.5,0
2020,99.2,Dillon Brooks,MEM,9,67,72,36,17.2,2.9,2.3,1.2,0.4,1.8,11.2,1.32,1.9,2.3,113.9,109.4,99,48.1,51.5,25.6,6.6,0
2020,99.2,Evan Fournier,BOS,7,42,72,18,17.1,3.0,3.4,1.1,0.5,1.7,17.0,1.97,2.8,-0.8,111.6,113.0,69,56.5,59.8,22.2,9.8,0
2020,99.2,Jonas Valanciunas,MEM,9,62,72,32,17.1,12.5,1.8,0.6,0.9,1.6,9.7,1.12,0.3,2.2,112.8,108.9,98,60.6,63.6,21.7,16.3,0
2020,99.2,Bojan Bogdanovic,UTA,1,72,72,52,17.0,3.9,1.9,0.6,0.1,1.8,9.1,1.06,2.5,5.8,116.8,107.3,121,53.6,58.8,22.5,9.4,0
2020,99.2,Tim Hardaway Jr.,DAL,5,70,72,42,16.6,3.3,1.8,0.4,0.2,0.9,9.8,1.97,3.0,1.0,114.3,112.3,0.07,56.0,58.9,23.0,10.2,0
2020,99.2,Kevin Porter Jr.,HOU,15,26,72,4,16.6,3.8,6.3,0.7,0.3,3.5,29.3,1.8,1.9,-8.6,107.3,119.9,0.006999999999999999,49.3,52.8,24.7,8.6,0
2020,99.2,Buddy Hield,SAC,11,71,72,31,16.6,4.7,3.6,0.9,0.4,1.8,14.1,1.98,4.0,-0.8,114.5,116.3,43,54.8,56.7,20.1,8.4,0
2020,99.2,Chris Paul,PHX,2,70,72,49,16.4,4.5,8.9,1.4,0.3,2.2,40.5,3.99,1.5,4.4,115.3,108.8,0.11,55.7,59.9,22.1,15.0,0
2020,99.2,Khyri Thomas,HOU,15,5,72,1,16.4,3.6,5.0,1.8,1.2,1.2,21.0,4.17,1.8,2.8,124.3,116.9,35,55.3,58.6,20.8,10.7,0
2020,99.2,Bogdan Bogdanovic,ATL,4,44,72,30,16.4,3.6,3.3,1.1,0.3,1.2,16.9,2.72,3.3,2.5,114.9,111.0,84,60.2,61.6,21.0,11.0,0
2020,99.2,Mike Conley,UTA,1,51,72,37,16.2,3.5,6.0,1.4,0.2,1.9,30.3,3.08,2.7,10.7,116.2,99.5,184,55.2,58.9,22.4,13.1,0
2020,99.2,Harrison Barnes,SAC,11,58,72,25,16.1,6.6,3.5,0.7,0.2,1.6,12.8,2.16,1.7,-1.0,114.4,116.2,47,57.5,62.6,16.9,10.7,0
2020,99.2,Elijah Bryant,MIL,3,1,72,0,16.0,6.0,3.0,0.0,1.0,4.0,13.0,0.75,1.0,11.0,119.7,105.7,142,50.0,55.9,23.1,7.2,0
2020,99.2,OG Anunoby,TOR,12,43,72,18,15.9,5.5,2.2,1.5,0.7,1.7,9.8,1.25,2.4,2.7,112.4,109.1,0.11199999999999999,58.0,60.5,19.3,9.9,0
2020,99.2,LaMelo Ball,CHA,10,51,72,23,15.7,5.9,6.1,1.6,0.4,2.8,32.2,2.16,1.8,-1.6,108.7,111.8,77,50.4,53.9,24.7,12.1,0
2020,99.2,Dejounte Murray,SAS,10,67,72,32,15.7,7.1,5.4,1.5,0.1,1.7,24.6,3.1,0.9,1.3,111.8,109.5,0.10400000000000001,48.5,50.9,23.1,12.4,0
2020,99.2,Terrence Ross,ORL,14,46,72,16,15.6,3.4,2.3,1.0,0.5,1.6,13.3,1.46,1.9,-5.1,103.2,112.0,75,48.5,53.0,23.0,9.0,0
2020,99.2,T.J. Warren,IND,8,4,72,3,15.5,3.5,1.3,0.5,0.0,1.0,6.0,1.25,0.0,0.3,111.3,108.7,0.10300000000000001,52.9,56.0,21.3,7.2,0
2020,99.2,Kelly Oubre Jr.,GSW,8,55,72,27,15.4,6.0,1.3,1.0,0.8,1.3,6.7,1.04,1.6,-3.5,105.2,109.8,99,50.1,52.9,21.5,9.0,0
2020,99.2,Dennis Schroder,LAL,5,61,72,38,15.4,3.5,5.8,1.1,0.2,2.7,26.2,2.15,1.2,1.4,110.8,108.6,114,48.4,54.3,22.7,9.7,0
2020,99.2,Derrick White,SAS,10,36,72,18,15.4,3.0,3.5,0.7,1.0,1.3,16.8,2.82,2.3,2.6,113.9,108.8,102,50.3,55.0,22.3,9.0,0
2020,99.2,Gary Trent Jr.,TOR,12,58,72,29,15.3,2.6,1.4,1.0,0.2,0.7,6.7,1.86,2.8,-1.0,113.9,115.7,45,51.3,53.4,20.4,7.1,0
2020,99.2,Clint Capela,ATL,4,63,72,34,15.2,14.3,0.8,0.7,2.0,1.2,3.9,0.67,0.0,4.0,114.8,108.2,0.11,59.4,60.1,19.3,15.8,0
2020,99.2,Tyler Herro,MIA,6,54,72,29,15.1,5.0,3.4,0.6,0.3,1.9,18.4,1.82,2.0,-1.6,107.7,110.6,0.09,51.6,54.3,22.5,10.8,0
2020,99.2,Coby White,CHI,11,69,72,30,15.1,4.1,4.8,0.6,0.2,2.3,21.8,2.1,2.4,-1.6,108.6,111.3,87,50.6,54.0,21.9,8.8,0
2020,99.2,De'Andre Hunter,ATL,4,23,72,12,15.0,4.8,1.9,0.8,0.5,1.3,9.8,1.52,1.3,3.7,111.3,105.9,131,54.6,60.3,19.4,10.4,0
2020,99.2,Andre Drummond,LAL,5,46,72,19,14.9,12.0,2.0,1.4,1.1,2.7,12.4,0.76,0.0,-2.3,107.5,111.4,0.07200000000000001,49.3,51.9,26.9,13.9,0
2020,99.2,Devonte' Graham,CHA,10,55,72,23,14.8,2.7,5.4,0.9,0.1,1.5,27.2,3.51,3.3,1.8,109.2,107.1,0.11900000000000001,51.0,55.2,21.1,10.3,0
2020,99.2,Derrick Rose,NYK,4,50,72,28,14.7,2.6,4.2,1.0,0.4,1.6,27.6,2.68,1.0,2.7,109.8,105.0,0.11900000000000001,51.1,55.0,25.2,13.3,1
2020,99.2,Lonzo Ball,NOP,11,55,72,23,14.6,4.8,5.7,1.5,0.6,2.2,24.6,2.57,3.1,0.9,114.2,113.7,64,53.7,55.1,20.2,10.5,0
2020,99.2,Kendrick Nunn,MIA,6,56,72,31,14.6,3.2,2.6,0.9,0.3,1.4,14.0,1.85,2.2,-0.1,111.1,111.6,78,57.8,59.6,20.5,9.5,0
2020,99.2,Deandre Ayton,PHX,2,69,72,48,14.4,10.5,1.4,0.6,1.2,1.5,6.6,0.96,0.1,4.0,117.1,110.8,0.08800000000000001,62.9,65.3,17.9,13.0,0
2020,99.2,Jaren Jackson Jr.,MEM,9,11,72,4,14.4,5.6,1.1,1.1,1.6,1.4,7.4,0.8,1.5,-5.8,107.6,118.0,0.018000000000000002,49.2,55.1,25.2,9.7,0
2020,99.2,Thomas Bryant,WAS,8,10,72,2,14.3,6.1,1.5,0.4,0.8,1.1,7.9,1.36,0.9,-1.4,113.6,115.7,0.04,69.8,70.4,16.3,11.1,0
2020,99.2,Rudy Gobert,UTA,1,71,72,52,14.3,13.5,1.3,0.6,2.7,1.7,5.9,0.75,0.0,10.3,116.8,100.9,0.18100000000000002,67.5,68.3,16.6,16.5,0
2020,99.2,Ben Simmons,PHI,1,58,72,42,14.3,7.2,6.9,1.6,0.6,3.0,30.8,2.32,0.1,5.7,113.9,106.0,0.14,56.0,58.4,20.0,12.8,0
2020,99.2,Richaun Holmes,SAC,11,61,72,29,14.2,8.3,1.7,0.6,1.6,1.2,8.2,1.35,0.0,0.1,114.9,114.6,51,63.8,66.9,17.3,12.2,0
2020,99.2,Al Horford,BOS,7,28,72,11,14.2,6.7,3.4,0.9,0.9,1.0,20.6,3.24,2.0,-3.6,102.2,109.1,95,52.8,53.8,22.1,13.1,0
2020,99.2,Marvin Bagley III,SAC,11,43,72,20,14.1,7.4,1.0,0.5,0.5,1.4,5.7,0.73,0.9,-2.0,112.8,116.5,32,54.2,55.4,22.9,9.9,0
2020,99.2,Joe Harris,BKN,2,69,72,45,14.1,3.6,1.9,0.7,0.2,0.9,8.1,2.1,3.1,5.1,117.4,110.6,92,65.4,66.3,15.7,8.5,0
2020,99.2,Luguentz Dort,OKC,14,52,72,18,14.0,3.6,1.7,0.9,0.4,1.5,9.0,1.11,2.2,-4.8,104.4,111.6,78,47.5,51.3,21.8,6.2,0
2020,99.2,Rui Hachimura,WAS,8,57,72,29,13.8,5.5,1.4,0.8,0.1,1.2,6.2,1.21,0.8,-1.9,109.5,112.4,77,51.3,54.9,18.0,8.2,0
2020,99.2,Darius Bazley,OKC,14,55,72,16,13.7,7.2,1.8,0.5,0.5,2.2,9.1,0.81,1.5,-8.7,100.7,113.8,63,45.6,49.1,21.8,8.6,0
2020,99.2,Chris Boucher,TOR,12,60,72,25,13.6,6.7,1.1,0.6,1.9,0.8,6.8,1.37,1.5,1.6,114.4,110.7,71,59.5,63.4,20.2,13.2,0
2020,99.2,Lauri Markkanen,CHI,11,51,72,20,13.6,5.3,0.9,0.5,0.3,1.0,5.1,0.87,2.3,-0.9,107.1,109.9,81,59.4,61.9,19.7,11.0,0
2020,99.2,Doug McDermott,IND,8,66,72,32,13.6,3.3,1.3,0.3,0.1,0.8,7.5,1.6,1.7,-0.7,110.5,112.3,61,61.6,63.5,19.4,9.6,0
2020,99.2,LaMarcus Aldridge,BKN,2,26,72,15,13.5,4.5,1.9,0.4,1.1,1.0,10.9,1.81,1.2,-1.3,110.6,113.4,0.054000000000000006,52.5,55.6,22.4,9.9,0
2020,99.2,Kelly Olynyk,HOU,15,70,72,26,13.5,7.0,2.9,1.1,0.6,1.8,15.1,1.61,1.8,-1.4,110.7,113.2,62,57.4,61.0,19.0,11.2,0
2020,99.2,Montrezl Harrell,LAL,5,69,72,41,13.5,6.2,1.1,0.7,0.7,1.1,7.8,0.99,0.0,0.6,107.3,105.9,99,62.2,65.0,21.1,15.2,0
2020,99.2,Mikal Bridges,PHX,2,72,72,51,13.5,4.3,2.1,1.1,0.9,0.8,8.5,2.67,1.9,4.7,117.5,110.0,0.10099999999999999,64.3,66.7,14.7,9.9,0
2020,99.2,Goran Dragic,MIA,6,50,72,30,13.4,3.4,4.4,0.7,0.2,2.4,26.0,1.86,1.8,0.8,110.1,108.6,95,51.4,55.2,23.9,9.7,0
2020,99.2,Marcus Morris Sr.,LAC,3,57,72,38,13.4,4.1,1.0,0.6,0.3,1.0,5.6,1.02,2.5,2.3,117.4,113.1,0.057999999999999996,59.2,61.4,19.4,9.1,0
2020,99.2,Carmelo Anthony,POR,5,69,72,39,13.4,3.1,1.5,0.7,0.6,0.9,9.7,1.7,1.9,-0.3,115.1,115.8,35,50.6,54.7,22.8,8.8,0
