Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,AST%,AST/TO,3PM,+/-,OFFRTG,DEFRTG,DEFWS,eFG%,TS%,USG%,PIE,MVP,Prior MVPs,DPOY
1996,90.1,Dana Barros,BOS,15,24,82,6,12.5,2.0,3.4,1.1,0.3,1.6,19.5,2.08,1.8,-3.9,96.9,105.3,0.07400000000000001,52.0,55.2,18.3,10.2,0,0,0
1996,90.1,Olden Polynice,SAC,9,82,82,34,12.5,9.4,2.2,0.6,1.0,2.0,10.0,1.07,0.0,-2.4,103.2,106.4,76,45.7,47.6,19.2,8.9,0,0,0
1996,90.1,Dennis Scott,ORL,7,66,82,38,12.5,3.1,2.1,1.1,0.3,1.2,10.6,1.72,2.2,1.7,105.0,102.4,0.11199999999999999,49.6,51.9,18.4,7.8,0,0,0
1996,90.1,Vinny Del Negro,SAS,13,72,82,16,12.3,2.9,3.2,0.8,0.1,1.3,17.8,2.51,0.6,-4.7,103.9,112.2,12,49.6,52.9,18.6,9.7,0,0,0
1996,90.1,Voshon Lenard,MIA,2,73,82,53,12.3,3.0,2.2,0.7,0.2,1.5,13.1,1.48,2.5,4.6,106.4,98.2,139,59.3,61.4,18.2,10.2,0,0,0
1996,90.1,Clar. Weatherspoon,PHI,14,82,82,22,12.2,8.3,1.7,0.9,1.0,1.7,7.8,1.02,0.0,-6.0,101.0,109.5,43,49.1,53.7,15.3,10.1,0,0,0
1996,90.1,Nick Anderson,ORL,7,63,82,39,12.0,4.8,2.9,1.9,0.5,1.4,13.7,2.12,2.3,2.6,106.2,102.2,121,49.6,49.4,17.8,8.7,0,0,0
1996,90.1,Jamal Mashburn,MIA,2,69,82,34,11.9,4.3,2.9,1.1,0.2,1.7,15.8,1.78,1.3,0.8,103.3,101.5,0.11800000000000001,44.5,48.7,20.5,8.3,0,0,0
1996,90.1,Mario Elie,HOU,2,78,82,54,11.7,3.0,4.0,1.2,0.2,1.7,17.2,2.3,1.5,4.4,108.7,102.4,0.11800000000000001,60.0,66.2,13.6,9.3,0,0,0
1996,90.1,Corliss Williamson,SAC,9,79,82,32,11.6,4.1,1.6,0.8,0.6,2.0,10.8,0.79,0.0,-2.1,103.1,107.4,47,49.8,53.5,22.7,8.2,0,0,0
1996,90.1,Mark Price,GSW,10,70,82,26,11.3,2.6,4.9,1.0,0.0,2.3,28.9,2.12,1.6,-1.6,106.2,109.4,34,54.2,59.7,18.8,11.4,0,0,0
1996,90.1,Kevin Willis,HOU,2,75,82,51,11.2,7.5,0.9,0.6,0.4,1.6,6.4,0.6,0.0,0.3,103.3,102.5,0.08900000000000001,48.2,51.5,21.6,10.6,0,0,0
1996,90.1,Ricky Pierce,CHH,5,60,82,31,11.0,2.0,1.3,0.5,0.2,1.1,11.1,1.18,0.7,-0.3,107.2,108.5,33,52.3,58.3,22.7,10.1,0,0,0
1996,90.1,Sam Perkins,SEA,2,81,82,57,11.0,3.7,1.3,0.9,0.6,1.0,8.9,1.34,1.5,4.8,109.6,98.8,0.11199999999999999,53.1,58.4,19.3,11.8,0,0,0
1996,90.1,Billy Owens,SAC,9,66,82,26,11.0,5.9,2.8,0.9,0.4,2.0,15.5,1.41,0.4,-1.5,102.0,104.6,0.08199999999999999,48.7,51.4,18.7,9.9,0,0,0
1996,90.1,Jason Kidd,PHX,6,55,82,31,10.9,4.5,9.0,2.3,0.4,2.6,37.0,3.49,1.1,1.5,109.2,107.0,71,46.0,49.8,16.9,11.7,0,0,0
1996,90.1,Darrick Martin,LAC,8,82,82,36,10.9,1.4,4.1,0.7,0.0,1.5,29.2,2.67,1.1,-1.3,105.5,108.9,32,47.0,53.9,22.9,10.5,0,0,0
1996,90.1,Don MacLean,PHI,14,37,82,11,10.9,3.8,1.0,0.3,0.3,1.3,9.1,0.79,0.3,-1.6,104.2,109.9,0.022000000000000002,46.3,49.3,26.0,9.0,0,0,0
1996,90.1,Terry Mills,DET,5,79,82,52,10.8,4.8,1.3,0.4,0.3,1.1,8.9,1.16,2.2,6.0,111.3,99.2,111,56.9,58.5,20.1,11.9,0,0,0
1996,90.1,Dan Majerle,MIA,2,36,82,27,10.8,4.5,3.2,1.5,0.4,1.4,15.8,2.32,1.9,3.4,103.7,98.7,159,50.4,52.3,15.4,10.3,0,0,0
1996,90.1,Charles Oakley,NYK,3,80,82,55,10.8,9.8,2.8,1.4,0.3,2.1,12.7,1.29,0.1,1.3,101.1,98.8,163,49.2,54.5,15.3,12.1,0,0,0
1996,90.1,Bryon Russell,UTA,1,81,82,63,10.8,4.1,1.5,1.6,0.3,1.2,7.0,1.31,1.3,8.4,115.7,101.1,121,56.6,60.0,14.9,8.2,0,0,0
1996,90.1,Gary Trent,POR,5,82,82,49,10.8,5.2,1.1,0.6,0.4,1.6,7.7,0.67,0.0,0.9,105.5,103.9,69,53.6,56.9,20.7,11.6,0,0,0
1996,90.1,Gheorghe Muresan,WAS,8,73,82,39,10.6,6.6,0.4,0.6,1.3,1.6,2.4,0.25,0.0,3.2,106.3,99.8,106,60.4,61.8,18.2,11.0,0,0,0
1996,90.1,Danny Ferry,CLE,9,82,82,42,10.6,4.1,1.8,0.7,0.4,1.1,10.2,1.61,1.4,1.8,103.9,101.6,0.11800000000000001,50.1,52.3,17.3,7.9,0,0,0
1996,90.1,Erick Strickland,DAL,11,28,82,8,10.6,3.2,2.4,1.0,0.2,2.4,16.1,1.03,1.0,-2.5,96.9,101.0,105,45.3,51.0,21.2,7.3,0,0,0
1996,90.1,Gerald Wilkins,ORL,7,80,82,44,10.6,2.2,2.2,0.7,0.2,1.5,14.3,1.41,0.8,-2.7,99.9,105.4,69,46.9,50.3,19.9,6.9,0,0,0
1996,90.1,Calbert Cheaney,WAS,8,79,82,42,10.6,3.4,1.4,1.0,0.2,1.2,7.0,1.21,0.1,0.7,106.1,104.4,87,50.8,53.0,16.3,6.7,0,0,0
